Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Feature Selection;Balancing;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;SMOTE;No;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;SMOTE;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;SMOTE;Sensitive Learning;174;1;166;210;0.99;0.45;0.97;0.33
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;No;No;373;14;163;4;0.96;0.99;0.97;0.92
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;No;Sensitive Threshold;304;9;168;73;0.97;0.81;0.88;0.69
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;No;Sensitive Learning;371;12;165;6;0.97;0.98;0.97;0.92
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;oversampling;No;298;12;165;79;0.96;0.79;0.96;0.66
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;oversampling;Sensitive Threshold;106;3;174;271;0.97;0.28;0.63;0.19
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;oversampling;Sensitive Learning;200;11;166;177;0.95;0.53;0.95;0.38
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;undersampling;No;244;8;169;133;0.97;0.65;0.97;0.51
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;undersampling;Sensitive Threshold;5;0;177;372;1;0.01;0.51;0.01
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;undersampling;Sensitive Learning;340;54;123;37;0.86;0.9;0.86;0.61
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;SMOTE;No;372;12;165;5;0.97;0.99;0.97;0.93
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;SMOTE;Sensitive Threshold;7;0;177;370;1;0.02;0.51;0.01
SYNCOPE;2;5.85;27.97;31.95;Random Forest;No;SMOTE;Sensitive Learning;243;8;169;134;0.97;0.64;0.96;0.5
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;No;No;373;14;163;4;0.96;0.99;0.97;0.92
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;No;Sensitive Threshold;370;11;166;7;0.97;0.98;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;No;Sensitive Learning;371;11;166;6;0.97;0.98;0.96;0.93
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;oversampling;No;373;20;157;4;0.95;0.99;0.96;0.9
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;oversampling;Sensitive Threshold;228;7;170;149;0.97;0.6;0.78;0.47
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;oversampling;Sensitive Learning;372;17;160;5;0.96;0.99;0.95;0.91
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;undersampling;No;372;13;164;5;0.97;0.99;0.97;0.92
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;undersampling;Sensitive Threshold;58;0;177;319;1;0.15;0.58;0.1
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;undersampling;Sensitive Learning;374;64;113;3;0.85;0.99;0.86;0.69
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;SMOTE;No;371;12;165;6;0.97;0.98;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;SMOTE;Sensitive Threshold;223;9;168;154;0.96;0.59;0.77;0.44
SYNCOPE;2;5.85;27.97;31.95;Random Forest;Best first;SMOTE;Sensitive Learning;245;9;168;132;0.96;0.65;0.96;0.51
SYNCOPE;2;5.85;27.97;31.95;IBk;No;No;No;373;14;163;4;0.96;0.99;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;IBk;No;No;Sensitive Threshold;373;14;163;4;0.96;0.99;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;IBk;No;No;Sensitive Learning;373;14;163;4;0.96;0.99;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;IBk;No;oversampling;No;311;21;156;66;0.94;0.82;0.87;0.66
SYNCOPE;2;5.85;27.97;31.95;IBk;No;oversampling;Sensitive Threshold;287;21;156;90;0.93;0.76;0.82;0.58
SYNCOPE;2;5.85;27.97;31.95;IBk;No;oversampling;Sensitive Learning;236;14;163;141;0.94;0.63;0.82;0.46
SYNCOPE;2;5.85;27.97;31.95;IBk;No;undersampling;No;252;10;167;125;0.96;0.67;0.84;0.52
SYNCOPE;2;5.85;27.97;31.95;IBk;No;undersampling;Sensitive Threshold;222;10;167;155;0.96;0.59;0.77;0.44
SYNCOPE;2;5.85;27.97;31.95;IBk;No;undersampling;Sensitive Learning;216;52;125;161;0.81;0.57;0.67;0.24
SYNCOPE;2;5.85;27.97;31.95;IBk;No;SMOTE;No;373;14;163;4;0.96;0.99;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;IBk;No;SMOTE;Sensitive Threshold;373;14;163;4;0.96;0.99;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;IBk;No;SMOTE;Sensitive Learning;245;13;164;132;0.95;0.65;0.86;0.49
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;No;No;372;13;164;5;0.97;0.99;0.96;0.92
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;No;Sensitive Threshold;371;11;166;6;0.97;0.98;0.96;0.93
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;No;Sensitive Learning;371;11;166;6;0.97;0.98;0.96;0.93
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;oversampling;No;295;11;166;82;0.96;0.78;0.96;0.65
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;oversampling;Sensitive Threshold;294;10;167;83;0.97;0.78;0.86;0.65
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;oversampling;Sensitive Learning;197;7;170;180;0.97;0.52;0.96;0.38
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;undersampling;No;239;6;171;138;0.98;0.63;0.97;0.5
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;undersampling;Sensitive Threshold;239;6;171;138;0.98;0.63;0.8;0.5
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;undersampling;Sensitive Learning;105;1;176;272;0.99;0.28;0.86;0.19
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;SMOTE;No;371;11;166;6;0.97;0.98;0.96;0.93
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;SMOTE;Sensitive Threshold;371;11;166;6;0.97;0.98;0.96;0.93
SYNCOPE;2;5.85;27.97;31.95;IBk;Best first;SMOTE;Sensitive Learning;245;9;168;132;0.96;0.65;0.96;0.51
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;No;No;367;160;17;10;0.7;0.97;0.94;0.09
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;No;Sensitive Threshold;334;7;170;43;0.98;0.89;0.92;0.8
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;No;Sensitive Learning;353;10;167;24;0.97;0.94;0.95;0.86
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;oversampling;No;282;10;167;95;0.97;0.75;0.96;0.61
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;oversampling;Sensitive Threshold;1;0;177;376;1;0;0.5;0
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;oversampling;Sensitive Learning;355;14;163;22;0.96;0.94;0.93;0.85
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;undersampling;No;357;109;68;20;0.77;0.95;0.92;0.38
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;undersampling;Sensitive Threshold;0;0;177;377;0;0;0.5;0
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;undersampling;Sensitive Learning;360;158;19;17;0.69;0.95;0.83;0.08
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;SMOTE;No;351;8;169;26;0.98;0.93;0.95;0.86
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;SMOTE;Sensitive Threshold;0;0;177;377;0;0;0.5;0
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;No;SMOTE;Sensitive Learning;127;4;173;250;0.97;0.34;0.94;0.23
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;No;No;374;18;159;3;0.95;0.99;0.96;0.91
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;No;Sensitive Threshold;0;0;177;377;0;0;0.5;0
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;No;Sensitive Learning;371;11;166;6;0.97;0.98;0.96;0.93
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;oversampling;No;295;11;166;82;0.96;0.78;0.96;0.65
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;oversampling;Sensitive Threshold;13;0;177;364;1;0.03;0.52;0.02
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;oversampling;Sensitive Learning;197;7;170;180;0.97;0.52;0.96;0.38
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;undersampling;No;239;6;171;138;0.98;0.63;0.97;0.5
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;undersampling;Sensitive Threshold;0;0;177;377;0;0;0.5;0
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;undersampling;Sensitive Learning;105;1;176;272;0.99;0.28;0.86;0.19
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;SMOTE;No;371;11;166;6;0.97;0.98;0.96;0.93
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;SMOTE;Sensitive Threshold;0;0;177;377;0;0;0.5;0
SYNCOPE;2;5.85;27.97;31.95;Naive Bayes;Best first;SMOTE;Sensitive Learning;245;9;168;132;0.96;0.65;0.96;0.51
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;No;No;365;14;171;4;0.96;0.99;0.98;0.93
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;No;Sensitive Threshold;359;10;175;10;0.97;0.97;0.96;0.92
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;No;Sensitive Learning;363;10;175;6;0.97;0.98;0.98;0.93
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;oversampling;No;355;12;173;14;0.97;0.96;0.97;0.89
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;oversampling;Sensitive Threshold;241;7;178;128;0.97;0.65;0.81;0.53
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;oversampling;Sensitive Learning;331;9;176;38;0.97;0.9;0.98;0.82
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;undersampling;No;302;10;175;67;0.97;0.82;0.97;0.71
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;undersampling;Sensitive Threshold;64;2;183;305;0.97;0.17;0.58;0.12
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;undersampling;Sensitive Learning;153;7;178;216;0.96;0.41;0.91;0.29
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;SMOTE;No;368;12;173;1;0.97;1;0.97;0.95
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;SMOTE;Sensitive Threshold;67;1;184;302;0.99;0.18;0.59;0.13
SYNCOPE;3;7.59;28.88;33.39;Random Forest;No;SMOTE;Sensitive Learning;301;9;176;68;0.97;0.82;0.97;0.71
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;No;No;366;19;166;3;0.95;0.99;0.97;0.91
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;No;Sensitive Threshold;361;10;175;8;0.97;0.98;0.96;0.93
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;No;Sensitive Learning;362;10;175;7;0.97;0.98;0.97;0.93
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;oversampling;No;364;15;170;5;0.96;0.99;0.96;0.92
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;oversampling;Sensitive Threshold;285;8;177;84;0.97;0.77;0.86;0.66
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;oversampling;Sensitive Learning;365;16;169;4;0.96;0.99;0.97;0.92
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;undersampling;No;364;16;169;5;0.96;0.99;0.97;0.91
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;undersampling;Sensitive Threshold;123;4;181;246;0.97;0.33;0.66;0.24
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;undersampling;Sensitive Learning;366;55;130;3;0.87;0.99;0.9;0.75
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;SMOTE;No;365;18;167;4;0.95;0.99;0.97;0.91
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;SMOTE;Sensitive Threshold;361;10;175;8;0.97;0.98;0.96;0.93
SYNCOPE;3;7.59;28.88;33.39;Random Forest;Best first;SMOTE;Sensitive Learning;302;9;176;67;0.97;0.82;0.96;0.71
SYNCOPE;3;7.59;28.88;33.39;IBk;No;No;No;367;10;175;2;0.97;0.99;0.97;0.95
SYNCOPE;3;7.59;28.88;33.39;IBk;No;No;Sensitive Threshold;367;10;175;2;0.97;0.99;0.97;0.95
SYNCOPE;3;7.59;28.88;33.39;IBk;No;No;Sensitive Learning;367;10;175;2;0.97;0.99;0.97;0.95
SYNCOPE;3;7.59;28.88;33.39;IBk;No;oversampling;No;334;15;170;35;0.96;0.91;0.94;0.8
SYNCOPE;3;7.59;28.88;33.39;IBk;No;oversampling;Sensitive Threshold;321;14;171;48;0.96;0.87;0.9;0.76
SYNCOPE;3;7.59;28.88;33.39;IBk;No;oversampling;Sensitive Learning;299;8;177;70;0.97;0.81;0.9;0.71
SYNCOPE;3;7.59;28.88;33.39;IBk;No;undersampling;No;303;10;175;66;0.97;0.82;0.93;0.71
SYNCOPE;3;7.59;28.88;33.39;IBk;No;undersampling;Sensitive Threshold;274;10;175;95;0.96;0.74;0.84;0.62
SYNCOPE;3;7.59;28.88;33.39;IBk;No;undersampling;Sensitive Learning;201;33;152;168;0.86;0.54;0.73;0.31
SYNCOPE;3;7.59;28.88;33.39;IBk;No;SMOTE;No;367;10;175;2;0.97;0.99;0.97;0.95
SYNCOPE;3;7.59;28.88;33.39;IBk;No;SMOTE;Sensitive Threshold;367;10;175;2;0.97;0.99;0.97;0.95
SYNCOPE;3;7.59;28.88;33.39;IBk;No;SMOTE;Sensitive Learning;299;12;173;70;0.96;0.81;0.91;0.69
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;No;No;366;19;166;3;0.95;0.99;0.97;0.91
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;No;Sensitive Threshold;362;10;175;7;0.97;0.98;0.96;0.93
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;No;Sensitive Learning;362;10;175;7;0.97;0.98;0.97;0.93
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;oversampling;No;334;12;173;35;0.97;0.91;0.97;0.82
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;oversampling;Sensitive Threshold;332;9;176;37;0.97;0.9;0.93;0.82
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;oversampling;Sensitive Learning;255;10;175;114;0.96;0.69;0.97;0.56
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;undersampling;No;284;10;175;85;0.97;0.77;0.97;0.65
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;undersampling;Sensitive Threshold;284;6;179;85;0.98;0.77;0.87;0.67
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;undersampling;Sensitive Learning;153;5;180;216;0.97;0.41;0.9;0.3
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;SMOTE;No;365;18;167;4;0.95;0.99;0.97;0.91
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;SMOTE;Sensitive Threshold;362;10;175;7;0.97;0.98;0.96;0.93
SYNCOPE;3;7.59;28.88;33.39;IBk;Best first;SMOTE;Sensitive Learning;301;9;176;68;0.97;0.82;0.97;0.71
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;No;No;360;22;163;9;0.94;0.98;0.96;0.87
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;No;Sensitive Threshold;333;7;178;36;0.98;0.9;0.93;0.83
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;No;Sensitive Learning;346;8;177;23;0.98;0.94;0.96;0.88
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;oversampling;No;356;12;173;13;0.97;0.96;0.96;0.9
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;oversampling;Sensitive Threshold;123;4;181;246;0.97;0.33;0.66;0.24
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;oversampling;Sensitive Learning;252;8;177;117;0.97;0.68;0.97;0.56
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;undersampling;No;363;127;58;6;0.74;0.98;0.95;0.36
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;undersampling;Sensitive Threshold;116;4;181;253;0.97;0.31;0.65;0.22
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;undersampling;Sensitive Learning;91;2;183;278;0.98;0.25;0.86;0.17
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;SMOTE;No;348;14;171;21;0.96;0.94;0.97;0.86
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;SMOTE;Sensitive Threshold;0;0;185;369;0;0;0.5;0
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;No;SMOTE;Sensitive Learning;345;12;173;24;0.97;0.93;0.95;0.86
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;Best first;No;No;369;24;161;0;0.94;1;0.97;0.9
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;Best first;No;Sensitive Threshold;0;0;185;369;0;0;0.5;0
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;Best first;No;Sensitive Learning;362;10;175;7;0.97;0.98;0.97;0.93
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;Best first;oversampling;No;334;12;173;35;0.97;0.91;0.97;0.82
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;Best first;oversampling;Sensitive Threshold;32;0;185;337;1;0.09;0.54;0.06
SYNCOPE;3;7.59;28.88;33.39;Naive Bayes;Best first;oversampling;Sensitive Learning;255;10;175;114;0.96;0.69;0.97;0.56
